Number,Label,Brand,Title,price,Review_Number,href,Date,Rating,SKU,Model,OMSID,Date_of_first_review,Review_content,id
218,NULL,CARRO,"Essex 52 in. Integrated LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works w/Alexa/Google Home",$149.99,29,https://www.homedepot.com/p/CARRO-Essex-52-in-Integrated-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-w-Alexa-Google-Home-S525J-L12-B5-1/318630516,2024-07-19,3.5,1006880642,S525J-L12-B5-1,318630516,"Dec 25, 2021","The Carro Essex 52 in. Integrated LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works w/Alexa/Google Home. The easy to install instruction made installing the fan a “Breeze”! Each piece was individually boxed. The fan is simple but elegant. The remote was had easy instructions. The wifi/Bluetooth feature works well as well. The only negative I had for the unit was the screws for the fan blades were hard to start and was afraid they might strip. Taking the time to start the screws proved to be the best way to get them started.",3c85c068-db28-4cbd-b6c2-8b239f3402e4
229,NULL,CARRO,"Essex 60 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$209.99,5,https://www.homedepot.com/p/CARRO-Essex-60-in-Dimmable-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS605J-L12-B5-1/322766786,2024-07-19,4,1008621470,HS605J-L12-B5-1,322766786,"Oct 20, 2022","Looking to improve airflow in our cathedral-ceiling screened porch, we opted for this Carro 60” fan with LED light and remote. It’s a significant improvement in so many ways! It’s putting out significantly BETTER BREEZE (60” vs. original 52” span), MORE EFFICIENT (variable LED vs. original incandescent lights; DC motor with multi-speeds vs. original 3-speed AC motor). Comparing a DC to AC motor ceiling fan: DC uses up to 70% less energy than a standard AC fan and are EXTREMELY QUIET. The quality is good, wood blades balanced on first go. The remote is much handier than our old pullchain/switch operation; the LEDs have variable color to match our recessed lighting; and there’s even an app for “smart” use. VERY SATISFIED with all these improvements! The installation guide is available on the HD website. We had to purchase a 3-ft Carro-brand downrod from Home Depot for our application (it’s a different diameter from a standard downrod). We found it at CARRO 36 in. Black Extension downrod for DC Ceiling Fan DR36B (homedepot.com). We figured it out, but it came with no instructions- we had to remove the ball from the included 6-in rod and shorten the mounting pin. The 3-ft downrod came with an extended wiring harness and a longer safety cable but a different design than the included shorter cable ends. FYI, using the 3-ft downrod places the bottom of the blades at 3’8” and the bottom of the light at 3’10”. Contrary to the assembly instructions, we opted to do the installation without the blades and light kit attached (we were working on a 12-ft stepladder and it would have been unwieldy).",199e136e-ff72-4133-8804-dcc25aa68442
240,Sponsored,CARRO,"Veter 56 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$159.00,14,https://www.homedepot.com/p/CARRO-Veter-56-in-Dimmable-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS563B3-L22-B5-1/318938264,2024-07-19,4.6,1006988825,HS563B3-L22-B5-1,318938264,"Dec 22, 2021","The three blade ceiling fan has it all. Looks great it comes with a remote and it works with all of your smart devices. The nice flat black metal finish and the dark wood blades look modern but very nice. The dimmable led lights that are included a easy to use. The blades do not have two different colors like other brands. The only part of the lighting you will need to use wire ties on will be you black and white supply lines. Everything is quick snap style.",a4e1b92b-9aec-4a4f-bdaa-b46913904f48
272,NULL,CARRO,"Levi 48 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$209.00,41,https://www.homedepot.com/p/CARRO-Levi-48-in-Dimmable-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS485Q5-L12-B2-1-FM/322670753,2024-07-19,4.5,1008523275,HS485Q5-L12-B2-1-FM,322670753,"Oct 12, 2022","CARRO Levi 48 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home is simply an amazing little fan that pushes the air in a small room. Safety first as always. Make sure power is off before installing the fan. Relatively easy to install. The installation would be for a mor experienced DIYer. With the fan WiFI, Siri, Alexa, capable, you can turn the fan and light on or off from any room.",faeb4369-eb9f-465c-9f10-3e2f67fd2364
277,NULL,CARRO,"Aspen 60 in. Dimmable LED Indoor/Outdoor White Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$205.90,17,https://www.homedepot.com/p/CARRO-Aspen-60-in-Dimmable-LED-Indoor-Outdoor-White-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS605J1-L11-W1-1/322460046,2024-07-19,3.8,1008466591,HS605J1-L11-W1-1,322460046,"Sep 17, 2022","I really like this ceiling fan, both for how it looks and operates, and also for the ease of installation. This fan installs differently than all the other ceiling fans I have installed. It is assembled PRIOR to hanging it from the ceiling, so you don't have to balance on a high ladder while attaching blades, etc. You just have to climb the ladder to screw in the hanger and then you insert the downrod, connect the wiring, raise the canopy and you're done! The blade design is a modern rectangular shape that fits flush with the motor body, no old-fashioned spindly arms extending from the motor to the fan blades. The first picture shows the blades attached to the pieces that later attach to the motor. Each blade is attached with three screws with washers that are included in the kit. The side of the blade you are viewing in that picture shows the top side of the blades, which is a weathered wood finish. I wanted the black finished side to show when the fan is mounted, and it is underneath. The second picture shows how the blades are attached to the motor. The cardboard packing that came with the fan makes an excellent base to hold the motor securely and you can see it in the second picture. Here, the motor is upside down, and you see what will be the exposed side of the blades. This position is also used to install the light unit, which went on next. THe camera made the blade surface look brown, but it is a black, woodgrain finish. Then, I turned the assembly right side up and still on top of that cardboard packing, installed the downrod and canopy. The fan came with a 6" downrod - if you need something longer, extensions are available, but be sure you get one that is specified for a DC - powered fan! Finally, I had to climb a ladder to attach the ceiling hanger, which was easy, and then I climbed the ladder again, holding the assembled fan in one hand to insert the downrod into the hanger. The fan is fairly light, and I'm 81 years old, and I had no trouble doing this task. The only fiddly bit was inserting the transformer into the hanger, because the clearances are small. You then connect three wires with the included wire nuts, plug the transformer into the fan motor, raise the canopy and you're done! The last picture shows the fan in operation. The fan paired with the remote immediately. The light can be adjusted to different brightness levels and color intensities, from daylight to soft light, all from the remote. Likewise, the remote turns the fan on and off, changes its speed and reverses it when the seasons change. There's even a "random varying speed" feature, that is supposed to resemble a soft breeze. The fan is dead quiet and there is NO wobble, at any speed.",d7275ae2-db22-401c-99a9-76faea4f156d
12,Sponsored,CARRO,"Aspen 60 in. Dimmable LED Indoor/Outdoor White Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$205.90,17,https://www.homedepot.com/p/CARRO-Aspen-60-in-Dimmable-LED-Indoor-Outdoor-White-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS605J1-L11-W1-1/322460046,2024-07-22,3.8,1008466591,HS605J1-L11-W1-1,322460046,"Sep 17, 2022","I really like this ceiling fan, both for how it looks and operates, and also for the ease of installation. This fan installs differently than all the other ceiling fans I have installed. It is assembled PRIOR to hanging it from the ceiling, so you don't have to balance on a high ladder while attaching blades, etc. You just have to climb the ladder to screw in the hanger and then you insert the downrod, connect the wiring, raise the canopy and you're done! The blade design is a modern rectangular shape that fits flush with the motor body, no old-fashioned spindly arms extending from the motor to the fan blades. The first picture shows the blades attached to the pieces that later attach to the motor. Each blade is attached with three screws with washers that are included in the kit. The side of the blade you are viewing in that picture shows the top side of the blades, which is a weathered wood finish. I wanted the black finished side to show when the fan is mounted, and it is underneath. The second picture shows how the blades are attached to the motor. The cardboard packing that came with the fan makes an excellent base to hold the motor securely and you can see it in the second picture. Here, the motor is upside down, and you see what will be the exposed side of the blades. This position is also used to install the light unit, which went on next. THe camera made the blade surface look brown, but it is a black, woodgrain finish. Then, I turned the assembly right side up and still on top of that cardboard packing, installed the downrod and canopy. The fan came with a 6" downrod - if you need something longer, extensions are available, but be sure you get one that is specified for a DC - powered fan! Finally, I had to climb a ladder to attach the ceiling hanger, which was easy, and then I climbed the ladder again, holding the assembled fan in one hand to insert the downrod into the hanger. The fan is fairly light, and I'm 81 years old, and I had no trouble doing this task. The only fiddly bit was inserting the transformer into the hanger, because the clearances are small. You then connect three wires with the included wire nuts, plug the transformer into the fan motor, raise the canopy and you're done! The last picture shows the fan in operation. The fan paired with the remote immediately. The light can be adjusted to different brightness levels and color intensities, from daylight to soft light, all from the remote. Likewise, the remote turns the fan on and off, changes its speed and reverses it when the seasons change. There's even a "random varying speed" feature, that is supposed to resemble a soft breeze. The fan is dead quiet and there is NO wobble, at any speed.",96738f1c-0f3b-4b00-a667-940a6d916e92
55,Sponsored,CARRO,"Essex 60 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$209.99,5,https://www.homedepot.com/p/CARRO-Essex-60-in-Dimmable-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS605J-L12-BO-1/322766912,2024-07-22,4,1008620166,HS605J-L12-BO-1,322766912,"Oct 20, 2022","Looking to improve airflow in our cathedral-ceiling screened porch, we opted for this Carro 60” fan with LED light and remote. It’s a significant improvement in so many ways! It’s putting out significantly BETTER BREEZE (60” vs. original 52” span), MORE EFFICIENT (variable LED vs. original incandescent lights; DC motor with multi-speeds vs. original 3-speed AC motor). Comparing a DC to AC motor ceiling fan: DC uses up to 70% less energy than a standard AC fan and are EXTREMELY QUIET. The quality is good, wood blades balanced on first go. The remote is much handier than our old pullchain/switch operation; the LEDs have variable color to match our recessed lighting; and there’s even an app for “smart” use. VERY SATISFIED with all these improvements! The installation guide is available on the HD website. We had to purchase a 3-ft Carro-brand downrod from Home Depot for our application (it’s a different diameter from a standard downrod). We found it at CARRO 36 in. Black Extension downrod for DC Ceiling Fan DR36B (homedepot.com). We figured it out, but it came with no instructions- we had to remove the ball from the included 6-in rod and shorten the mounting pin. The 3-ft downrod came with an extended wiring harness and a longer safety cable but a different design than the included shorter cable ends. FYI, using the 3-ft downrod places the bottom of the blades at 3’8” and the bottom of the light at 3’10”. Contrary to the assembly instructions, we opted to do the installation without the blades and light kit attached (we were working on a 12-ft stepladder and it would have been unwieldy).",0cc9efdf-ce41-46e4-a43e-54f8a1455ade
58,Sponsored,CARRO,"Aspen 52 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$169.99,4,https://www.homedepot.com/p/CARRO-Aspen-52-in-Dimmable-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS525J1-L11-B2-1-FM/322672159,2024-07-22,5,1008523314,HS525J1-L11-B2-1-FM,322672159,"Oct 16, 2022","Just installed the CARRO Aspen 52 in. dimmable LED indoor/outdoor black smart ceiling fan with light and remote and really like the modern looks and how quiet it is. Installation was easy for a ceiling fan and I had it up in less than a hour. The fan has a nice smooth black satin finish with a band of gold near the base to add a touch of style, the fan blades are made with plywood so there should never be any blade sagging. Once up the pairing is easy with the remote ( you need two AAA batteries, not supplied with the fan) and the remote works great and well designed for the fan ( the remote is white, would have preferred black). The LED light works nicely with the remote for turning on and dimming, would have liked it a little brighter as we have a good size living room but overall not bad. So far it works and looks flawless.",cb3c6035-21c5-496a-87a7-a74af71d37ad
70,Sponsored,CARRO,"Aspen 60 in. Dimmable LED Indoor/Outdoor White Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$205.90,17,https://www.homedepot.com/p/CARRO-Aspen-60-in-Dimmable-LED-Indoor-Outdoor-White-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS605J1-L11-W1-1/322460046,2024-07-22,3.8,1008466591,HS605J1-L11-W1-1,322460046,"Sep 17, 2022","I really like this ceiling fan, both for how it looks and operates, and also for the ease of installation. This fan installs differently than all the other ceiling fans I have installed. It is assembled PRIOR to hanging it from the ceiling, so you don't have to balance on a high ladder while attaching blades, etc. You just have to climb the ladder to screw in the hanger and then you insert the downrod, connect the wiring, raise the canopy and you're done! The blade design is a modern rectangular shape that fits flush with the motor body, no old-fashioned spindly arms extending from the motor to the fan blades. The first picture shows the blades attached to the pieces that later attach to the motor. Each blade is attached with three screws with washers that are included in the kit. The side of the blade you are viewing in that picture shows the top side of the blades, which is a weathered wood finish. I wanted the black finished side to show when the fan is mounted, and it is underneath. The second picture shows how the blades are attached to the motor. The cardboard packing that came with the fan makes an excellent base to hold the motor securely and you can see it in the second picture. Here, the motor is upside down, and you see what will be the exposed side of the blades. This position is also used to install the light unit, which went on next. THe camera made the blade surface look brown, but it is a black, woodgrain finish. Then, I turned the assembly right side up and still on top of that cardboard packing, installed the downrod and canopy. The fan came with a 6" downrod - if you need something longer, extensions are available, but be sure you get one that is specified for a DC - powered fan! Finally, I had to climb a ladder to attach the ceiling hanger, which was easy, and then I climbed the ladder again, holding the assembled fan in one hand to insert the downrod into the hanger. The fan is fairly light, and I'm 81 years old, and I had no trouble doing this task. The only fiddly bit was inserting the transformer into the hanger, because the clearances are small. You then connect three wires with the included wire nuts, plug the transformer into the fan motor, raise the canopy and you're done! The last picture shows the fan in operation. The fan paired with the remote immediately. The light can be adjusted to different brightness levels and color intensities, from daylight to soft light, all from the remote. Likewise, the remote turns the fan on and off, changes its speed and reverses it when the seasons change. There's even a "random varying speed" feature, that is supposed to resemble a soft breeze. The fan is dead quiet and there is NO wobble, at any speed.",d26ec73b-efb6-455a-8f32-404e349989d9
113,Sponsored,CARRO,"Essex 60 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$209.99,5,https://www.homedepot.com/p/CARRO-Essex-60-in-Dimmable-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS605J-L12-BO-1/322766912,2024-07-22,4,1008620166,HS605J-L12-BO-1,322766912,"Oct 20, 2022","Looking to improve airflow in our cathedral-ceiling screened porch, we opted for this Carro 60” fan with LED light and remote. It’s a significant improvement in so many ways! It’s putting out significantly BETTER BREEZE (60” vs. original 52” span), MORE EFFICIENT (variable LED vs. original incandescent lights; DC motor with multi-speeds vs. original 3-speed AC motor). Comparing a DC to AC motor ceiling fan: DC uses up to 70% less energy than a standard AC fan and are EXTREMELY QUIET. The quality is good, wood blades balanced on first go. The remote is much handier than our old pullchain/switch operation; the LEDs have variable color to match our recessed lighting; and there’s even an app for “smart” use. VERY SATISFIED with all these improvements! The installation guide is available on the HD website. We had to purchase a 3-ft Carro-brand downrod from Home Depot for our application (it’s a different diameter from a standard downrod). We found it at CARRO 36 in. Black Extension downrod for DC Ceiling Fan DR36B (homedepot.com). We figured it out, but it came with no instructions- we had to remove the ball from the included 6-in rod and shorten the mounting pin. The 3-ft downrod came with an extended wiring harness and a longer safety cable but a different design than the included shorter cable ends. FYI, using the 3-ft downrod places the bottom of the blades at 3’8” and the bottom of the light at 3’10”. Contrary to the assembly instructions, we opted to do the installation without the blades and light kit attached (we were working on a 12-ft stepladder and it would have been unwieldy).",8905636e-ba5c-4355-a833-62a224185a51
115,Sponsored,CARRO,"Aspen 52 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",$169.99,4,https://www.homedepot.com/p/CARRO-Aspen-52-in-Dimmable-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-with-Alexa-Google-Home-HS525J1-L11-B2-1-FM/322672159,2024-07-22,5,1008523314,HS525J1-L11-B2-1-FM,322672159,"Oct 16, 2022","Just installed the CARRO Aspen 52 in. dimmable LED indoor/outdoor black smart ceiling fan with light and remote and really like the modern looks and how quiet it is. Installation was easy for a ceiling fan and I had it up in less than a hour. The fan has a nice smooth black satin finish with a band of gold near the base to add a touch of style, the fan blades are made with plywood so there should never be any blade sagging. Once up the pairing is easy with the remote ( you need two AAA batteries, not supplied with the fan) and the remote works great and well designed for the fan ( the remote is white, would have preferred black). The LED light works nicely with the remote for turning on and dimming, would have liked it a little brighter as we have a good size living room but overall not bad. So far it works and looks flawless.",f230466b-5988-40e6-8c1d-b4362d245b18
119,NULL,CARRO,"Essex 52 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works w/Alexa/Google Home",$149.99,15,https://www.homedepot.com/p/CARRO-Essex-52-in-Dimmable-LED-Indoor-Outdoor-Black-Smart-Ceiling-Fan-with-Light-and-Remote-Works-w-Alexa-Google-Home-HS525J-L12-BO-1/319979324,2024-07-22,4.4,1007512387,HS525J-L12-BO-1,319979324,"Mar 16, 2022","I highly recommend the CARRO Essex 52 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling fan and the different options. I have some experiencing installing lights so this one was pretty easy to install. This fan comes with a remote that has a variety of options as far as fan speed and lighting goes. The lighting goes from warm to cool. The look of this fan is modern and upscale.",70f9ec3c-38e3-441a-834e-dbe4325d6cdd
